xml,replicate,dataset,ntaxa,nsites,npatterns,npartitions,ncalibrations,nspecies,pgaps,nchar,dated,NJtree.height,partition.model,treeclock.model,site.model,site.heterogeneity.model,branch.model,tree.model,search.mode,TopologyPOEM.dim,TopologyPOEM.weight,TopologyPOEM.min.ESS.hr,NodeHeightPOEM.dim,NodeHeightPOEM.weight,NodeHeightPOEM.min.ESS.hr,SiteModelPOEM.dim,SiteModelPOEM.weight,SiteModelPOEM.min.ESS.hr,ClockModelRatePOEM.dim,ClockModelRatePOEM.weight,ClockModelRatePOEM.min.ESS.hr,ClockModelSDPOEM.dim,ClockModelSDPOEM.weight,ClockModelSDPOEM.min.ESS.hr,SpeciesTreePriorPOEM.dim,SpeciesTreePriorPOEM.weight,SpeciesTreePriorPOEM.min.ESS.hr,ESS.mean.hr,ESS.sd.hr,ESS.cov.hr,nstates,runtime.smooth.hr,runtime.raw.hr,TopologyPOEM.weight.d,TopologyPOEM.min.ESS.m,TopologyPOEM.min.ESS.p,NodeHeightPOEM.weight.d,NodeHeightPOEM.min.ESS.m,NodeHeightPOEM.min.ESS.p,SiteModelPOEM.weight.d,SiteModelPOEM.min.ESS.m,SiteModelPOEM.min.ESS.p,ClockModelRatePOEM.weight.d,ClockModelRatePOEM.min.ESS.m,ClockModelRatePOEM.min.ESS.p,ClockModelSDPOEM.weight.d,ClockModelSDPOEM.min.ESS.m,ClockModelSDPOEM.min.ESS.p,SpeciesTreePriorPOEM.weight.d,SpeciesTreePriorPOEM.min.ESS.m,SpeciesTreePriorPOEM.min.ESS.p,ESS.mean.m,ESS.sd.m,ESS.cov.m,runtime.smooth.hr.m,runtime.raw.hr.m,Pmean
30,1,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.321183040143791,6.61699335988634,173,0.171629467387668,73.0230264680468,9,0.0359649813749838,496.828902786115,173,0.0450961618291984,23.4292941340674,87,0.167290329496152,31.1099334686286,1,0.258836019768207,850.293663293155,152.113689587316,158.091836972879,0.152442754529945,99990000,6.81764459768928,6.15746333333333,0.00373468651329989,0.451168207150464,0.00446701225876959,0.00390066971335608,4.97894831389939,0.049296521344979,0.00399610904166487,33.8754163921957,0.33540018533353,0.000524373974758121,1.59748575438341,0.0158166917237159,0.167290329496152,2.1211768161503,0.0210017520973086,0.258836019768207,57.975797579758,0.574017837241696,10.3716079012856,10.7792175045197,0.0103940446232419,0.0681832643033231,0.0615807914124746,0.527697297387632
30,10,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.51966965847062,6.76438342729866,173,0.201633258436965,95.7179844380311,9,0.00395098656201498,290.996446385128,173,0.170266355648875,174.085537610335,87,0.078855837160979,252.0593016071,1,0.0256239037205459,552.418126767265,177.482684445917,85.2933826206951,0.0312436419403867,99990000,15.3814648511341,14.2467913888889,0.0060426704473328,1.04056531579746,0.00493015848696626,0.00458257405538557,14.724300562606,0.0697631703472075,0.000438998506890553,44.7639925180295,0.212090076685022,0.00197984134475436,26.7795837368151,0.126880638853795,0.078855837160979,38.774290309741,0.1837110977509,0.0256239037205459,84.978497849785,0.40262485787611,27.302166941592,13.1206837365191,0.00480621042431719,0.153830031514492,0.142482162105099,0.308483355294475
30,100,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.17660994574373,0.921381672079048,173,0.114810347656453,0.921381672079048,9,0.00760473611223534,17.3577692360544,173,0.588122343788456,2.4441487993651,87,0.112852618329062,348.33410000781,1,8.37006392279398e-09,0.386044074821094,61.7374411152094,95.532219630867,0.199120915265351,99990000,7.77113339037855,7.55252638888889,0.00205360402027593,0.0716089596677299,0.00248776775961157,0.0026093260831012,0.0716089596677299,0.00248776775961157,0.00084497067913726,1.34903030395828,0.0468666785902042,0.00683863190451693,0.189957059163914,0.00659930055807768,0.112852618329062,27.0722147772593,0.940516150725424,8.37006392279398e-09,0.03000300030003,0.00104233460707106,4.79817871874121,7.42467868617269,0.0154754994833614,0.077719105814367,0.0755328171706059,0.848620918830616
30,11,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.123567221638528,0.887863394208074,173,0.474105792296185,41.7623740799547,9,0.196244516723196,294.550515952202,173,0.0999182213428216,60.7448226007344,87,0.0272393785661055,176.683490672833,1,0.0789248694331637,302.155537931631,117.687664163535,83.2226441385691,0.0253884038809878,99990000,27.85320453701,25.1177844444444,0.00143682815858754,0.247323139511965,0.0010126357026777,0.0107751316430951,11.6333228042814,0.0476312812284196,0.0218049463025773,82.0499626692518,0.335943987150614,0.00116183978305607,16.9210717918056,0.0692813517480274,0.0272393785661055,49.2169357338064,0.201512993886426,0.0789248694331637,84.1684168416842,0.344617750283836,32.7830641207108,23.1824915421778,0.00707219128078179,0.278559901360236,0.251202964740919,0.335604300381132
30,12,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.366285983224474,8.02517589939726,173,0.138408909917558,57.7930128589602,9,0.115479723622605,862.915778305756,173,0.0746545425309159,136.700000407066,87,0.258919221740985,223.321801859464,1,0.0462516189634624,778.780156199844,247.079869938497,205.278636122419,0.100987249164193,99990000,8.22696873950123,14.1360197222222,0.00425913933981946,0.6602947420076,0.0038815170272498,0.00314565704358087,4.75508861038362,0.0279526039404281,0.0128310804025116,70.9989112205603,0.417364345475327,0.000868076075940883,11.2473910394913,0.0661173519255737,0.258919221740985,18.3744522726963,0.108013504917533,0.0462516189634624,64.0764076407641,0.376670676713888,20.3292165830988,16.8898982124872,0.00830902032165251,0.082277915186531,0.141374334655688,0.407727807017357
30,13,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.294395259267105,7.85747485613688,173,0.254879816563913,88.4873641855488,9,0.00705850248628974,748.371448465927,173,0.0489990909420089,140.214201133016,87,0.290261681961773,335.502597506277,1,0.10440564877891,776.567243898178,266.035917220855,187.182903829287,0.0816486562456033,99990000,8.6174121463169,14.3584163888889,0.00342320068915239,0.677178710517588,0.00374700697160498,0.0057927231037253,7.62608347762892,0.0421971150494032,0.000784278054032194,64.4967017698475,0.356877124787976,0.000569756871418708,12.0840440036981,0.0668641769503212,0.290261681961773,28.9145330420188,0.159991676061903,0.10440564877891,66.9266926692669,0.370322900178791,22.927704214577,16.1319354839621,0.00703670489110226,0.0861827397371427,0.143598523741263,0.3601339432422
30,14,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.249032415297115,2.71230163590555,173,0.267688018534283,47.6389664014608,9,0.308518585050596,274.262789509767,173,0.085525641462601,77.0557296620119,87,0.0886205386739106,148.001804116744,1,0.000614800981493975,308.264109155903,112.938934145031,70.4699349119052,0.0266517937374415,99990000,23.4117426766346,17.8836986111111,0.00289572575926878,0.635060585670925,0.00316142763890394,0.00608381860305188,11.1542276504835,0.0555274321545403,0.0342798427833996,64.2161201498017,0.319677557835336,0.0009944842030535,18.041893335407,0.0898152735907127,0.0886205386739106,34.6532668632752,0.17250920323473,0.000614800981493975,72.1772177217722,0.359309105545777,26.4436170054691,16.4998898149486,0.0062402733958568,0.234140840850431,0.178854871598271,0.324883989390449
30,15,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.336942922347995,6.95120090959263,173,0.199061057517687,78.6791979690148,9,0.0596277280285225,669.840426143525,173,0.0727484590150555,134.292588109118,87,0.161826812053569,279.59416933825,1,0.169793021037171,495.928538342523,228.47052765712,164.164513389178,0.0610699183303825,99990000,11.7658080728759,15.8955330555556,0.00391794095753483,0.817946752457918,0.00417417813234587,0.00452411494358379,9.25816924323667,0.0472466544852061,0.00662530311428027,78.8200209366748,0.40223744002436,0.000845912314128552,15.8021883918558,0.0806423511436189,0.161826812053569,32.8998033276229,0.167895574126274,0.169793021037171,58.3558355835584,0.297803802088196,26.8840921964433,19.3172132904704,0.00718608798981383,0.11766984771353,0.158971227678323,0.347501336344417
30,16,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.638403849194517,23.6776518758451,173,0.245851903298742,63.1543192934093,9,0.00122889638038089,104.561409374335,173,0.047276635089306,93.8390936998414,87,0.0174847417593029,278.918315842455,1,0.0497539742777518,573.038462232221,123.495123832528,69.5826736955611,0.0518342410775004,99990000,10.8701254986192,16.0870202777778,0.00742330057202926,2.57404787881841,0.0208212061691397,0.00558754325678959,6.86564032902517,0.0555354521375155,0.000136544042264544,11.3670931314283,0.0919472367164842,0.000549728314991931,10.2014473966793,0.0825184493333496,0.0174847417593029,30.3218031510251,0.245269919034051,0.0497539742777518,62.2962296229623,0.50390773660946,13.4254174870197,7.56448040404259,0.00563501055743686,0.108712126198812,0.160886291406918,0.407670174800421
30,17,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.215573810748469,7.3778039451253,173,0.519808553696454,58.9092266689651,9,0.0342811958781905,599.45061000937,173,0.0245588773169758,80.4493783506825,87,0.0576544588034909,247.573064927713,1,0.14812310355642,626.872644716151,198.232446574195,150.186260596231,0.0630724651644152,99990000,12.0120092389892,16.7184311111111,0.00250667221800545,0.886311122635225,0.00455242191203723,0.0118138307658285,7.07688943903709,0.0363495230157421,0.00380902176424339,72.013263983901,0.369886772878239,0.000285568340895067,9.66455321551492,0.0496407217564251,0.0576544588034909,29.7414735797237,0.152763214364325,0.14812310355642,75.3075307530753,0.386807346073231,23.8140812052872,18.0421917176834,0.00757702804561236,0.120132105600452,0.167201031214233,0.383291396130913
