#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="slopePrior" name="distribution">
#            <parameter dimension="30" id="Slope" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Normal id="Normal" name="distr">
#                <parameter id="RealParameter" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">0.0</parameter>
#                <parameter id="RealParameter1" lower="0.0" name="sigma" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Normal>
#        </prior>
#        <prior id="interceptPrior" name="distribution">
#            <parameter dimension="30" id="Intercept" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Normal id="Normal1" name="distr">
#                <parameter id="RealParameter2" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">0.0</parameter>
#                <parameter id="RealParameter3" lower="0.0" name="sigma" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Normal>
#        </prior>
#        <prior id="sigmaPrior" name="distribution">
#            <parameter id="Sigma" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter4" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter5" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="0.0">2.0</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="treePrior" spec="poetry.decisiontree.GeometricTreePrior">
#            <tree id="tree" spec="poetry.decisiontree.DecisionTree"/>
#            <parameter id="RealParameter6" name="mean" spec="beast.core.parameter.RealParameter">10.0</parameter>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution class="SpeciesTreePriorPOEM.min.ESS.p" data="/home/jdou557/Documents/Marsden2019/papers/PoetryPaper/results/weka.arff" id="decisionTreeDistribution" intercept="@Intercept" maxLeafCount="30" pred="SpeciesTreePriorPOEM.weight" sigma="@Sigma" slope="@Slope" spec="poetry.decisiontree.DecisionTreeDistribution" tree="@tree" xmlSplit="false">
#            <pointer dimension="29" id="AttributePointer" spec="beast.core.parameter.IntegerParameter">0</pointer>
#            <parameter dimension="29" id="SplitPoint" name="split" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <parameter id="RealParameter7" name="shape" spec="beast.core.parameter.RealParameter">5.0</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Intercept.0	Intercept.1	Intercept.2	Intercept.3	Intercept.4	Intercept.5	Intercept.6	Intercept.7	Intercept.8	Intercept.9	Intercept.10	Intercept.11	Intercept.12	Intercept.13	Intercept.14	Intercept.15	Intercept.16	Intercept.17	Intercept.18	Intercept.19	Intercept.20	Intercept.21	Intercept.22	Intercept.23	Intercept.24	Intercept.25	Intercept.26	Intercept.27	Intercept.28	Intercept.29	Slope.0	Slope.1	Slope.2	Slope.3	Slope.4	Slope.5	Slope.6	Slope.7	Slope.8	Slope.9	Slope.10	Slope.11	Slope.12	Slope.13	Slope.14	Slope.15	Slope.16	Slope.17	Slope.18	Slope.19	Slope.20	Slope.21	Slope.22	Slope.23	Slope.24	Slope.25	Slope.26	Slope.27	Slope.28	Slope.29	Sigma	AttributePointer.0	AttributePointer.1	AttributePointer.2	AttributePointer.3	AttributePointer.4	AttributePointer.5	AttributePointer.6	AttributePointer.7	AttributePointer.8	AttributePointer.9	AttributePointer.10	AttributePointer.11	AttributePointer.12	AttributePointer.13	AttributePointer.14	AttributePointer.15	AttributePointer.16	AttributePointer.17	AttributePointer.18	AttributePointer.19	AttributePointer.20	AttributePointer.21	AttributePointer.22	AttributePointer.23	AttributePointer.24	AttributePointer.25	AttributePointer.26	AttributePointer.27	AttributePointer.28	SplitPoint.0	SplitPoint.1	SplitPoint.2	SplitPoint.3	SplitPoint.4	SplitPoint.5	SplitPoint.6	SplitPoint.7	SplitPoint.8	SplitPoint.9	SplitPoint.10	SplitPoint.11	SplitPoint.12	SplitPoint.13	SplitPoint.14	SplitPoint.15	SplitPoint.16	SplitPoint.17	SplitPoint.18	SplitPoint.19	SplitPoint.20	SplitPoint.21	SplitPoint.22	SplitPoint.23	SplitPoint.24	SplitPoint.25	SplitPoint.26	SplitPoint.27	SplitPoint.28	R2(train)	rho(train)	R2(test)	rho(test)	leafcount
0	-1923.177418851653	-1725.1713304729715	-198.00608837868168	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	23	2	15	13	19	0	0	16	1	7	19	3	2	18	20	0	17	7	5	5	19	6	6	0	22	0	12	24	24	0.38133551988206893	0.5820157314124549	0.4618200431327577	0.13264477400634134	0.6594903026939913	0.5085986287230377	0.19036734183510107	0.09213040117698701	0.9410391911607005	0.8645282910985801	0.7936487316130986	0.3617896816433991	0.4374654700568683	0.5336342142965608	0.19444748904144626	0.23112265618348915	0.7177536203629084	0.9619376476355573	0.1828589403223263	0.9573281542583639	0.469716962649516	0.6718572100709861	0.5173104481470506	0.5359101483337381	0.620047764177912	0.710776711805965	0.1950274142891414	0.2907656405354423	0.8312948264900089	-1.6099511411380005	NaN	-1.407515065231498	NaN	1
10000	-964.8100841917293	-768.1004493852377	-196.7096348064916	0.29398362473069595	0.7257304173007553	1.0698729145864103	0.795398974057724	0.3838642975075249	0.835894056598804	0.9882274863837869	0.5826021901008597	1.0944794348441096	1.759824337547043	0.6993476519712905	0.10335767546827754	0.8854494870336461	1.3374918393327802	0.6432949027792475	1.118085591306733	0.31210837938470354	0.7977172336500076	1.0784166475514596	0.8367092678116831	1.420088816483514	0.839804069195518	0.8005287103988632	0.7889246476233471	0.8167772789724969	1.2451009384837386	0.6798469417118984	1.8856095693190993	0.5718268358371819	0.9620845786927381	1.880478039792839	1.2235210095554854	1.119994920430346	1.0925527029680726	1.5157082605631802	1.2182945075046663	1.1110255326093679	1.0871223596844084	1.0296421801459281	0.9228030712625315	1.3622587805534767	1.327858765817922	1.1053260429276204	0.943612659436879	1.0299445112803784	1.0591780157912338	0.9828780917377138	1.0895634704437196	1.2776910847681595	0.9978669676884196	0.7561952138783233	0.958535753646474	0.9510431223826525	0.8062618137221822	1.171821845937285	1.4046772137538428	0.9449876674808724	0.7704849003585642	1.0635351179322727	0.7787000923228946	0.38306616975002	14	12	25	23	0	10	1	23	0	22	7	10	13	15	19	17	11	21	15	5	18	16	13	7	21	5	4	20	4	0.45779760231976474	0.19783377210018216	0.7130812537697434	0.695201351150011	0.3747901298484805	0.8856665595979639	0.0969851839587097	0.5145514206803783	0.4397440682146503	0.9408496668473508	0.4959850989433733	0.191327169963463	0.12905002519196607	0.20598216935225666	0.9631443064494946	0.4015105478734008	0.5093051880110064	0.5973491071465449	0.806140374544046	0.06036984435551018	0.5444992508166151	0.9651060575722228	0.7024839121509214	0.056363990049407175	0.8232798394511662	0.039364931772441825	0.8209294031814645	0.08593050776539413	0.4742804395927348	-1.0641391524002684	NaN	-0.9237371254506437	NaN	1
20000	-837.9559430753488	-643.3947467564178	-194.56119631893105	-0.6408456558724245	0.9364627933370648	1.0745975293509011	0.9014207074545058	1.819714052021122	1.2204903526355386	0.8991872937260734	0.3202938183385099	1.1299081237541324	1.2303165077262477	1.4860924608582626	0.8733590168234343	0.48720521759749325	0.9461011288113554	0.5974419753429678	0.5834828704360377	1.1779251507331305	1.8799118143133613	0.06689512618550109	1.030725875624406	0.4788433291461714	1.232243560643559	1.4866575701270426	1.017451525424027	1.15614543910714	0.5796962594704503	0.5265051534137419	0.6711562149977369	2.307525500191905	0.7071813894971758	2.185474028471087	1.5284222001245276	1.4432804919806514	0.9341448275028292	0.8267793149884358	0.5275617856438106	0.6992770558316974	1.318256119510827	1.3870971635126161	1.326512720130212	1.2335529735774236	0.9513685341250625	1.3899155719171348	1.4178876017800623	1.0210641464051964	0.707667790078244	0.9700818154972191	0.9582516926287564	0.36194247953630077	0.5786428939997064	1.5911689474259854	1.7754568508660165	1.0233947548493103	0.5347327909057147	1.1927659794973222	1.8345109999196412	1.6247248844981108	1.3732826903751034	0.8131650438717537	1.1837072605102765	0.03894999387765649	3	13	18	13	12	23	22	17	13	10	0	23	13	16	10	20	20	8	3	15	15	4	16	6	17	11	17	13	21	0.8357100515037775	0.908388979633935	0.09382884774196365	0.49434961023964263	0.6060529235027273	0.4040071343114152	0.5125941514665558	0.8673574894474618	0.6233475602338706	0.9915014815458736	0.11061854912161329	0.320348969511851	0.14069221202113857	0.813660305894948	0.7284084168794653	0.016280280807282277	0.13715298441560453	0.2513652124965292	0.9971228653018712	0.3073871782720974	0.6409979018734019	0.7843543880098522	0.39639049529816284	0.34333555502418234	0.016063434381735964	0.5051002409244909	0.7107727380189938	0.29629711344242227	0.8392839887702896	-0.3624734378655621	NaN	-0.30614980107175827	NaN	1
30000	-799.739233409988	-605.8094568149955	-193.92977659499243	-1.333246129899417	0.7094359192732493	1.0217186156906777	1.0435023914382353	0.7254509617443673	1.2643624228254733	0.5306846498964906	1.3292809409339597	2.40193852009858	0.9226199863652911	0.9245859082042321	0.5798068721457131	0.6046622995784581	0.6722608758925935	2.023287204093831	0.3164337468799685	0.874052910842476	1.1646090077404114	1.250790623742532	2.001892678004968	0.7076891205532301	0.6588831204524339	0.20551382726242234	0.64390826194124	0.43035164355806277	1.9891640914645634	1.0421178930809132	0.49337116438717576	1.0878463247387369	0.7319268640135144	2.009508916425746	1.6812788846781044	1.149317596792447	1.5484542695554522	0.9170491252323405	1.0020801638772014	1.341486732722113	1.5182933006287864	0.600517556507588	1.4921143949951339	1.1892792167756907	1.1573400712655164	1.676448057751758	0.3733944824834946	1.2991559176378549	-0.002780792505701138	1.9823528683938123	0.4515685801570936	1.2027123148587868	1.125823449100423	1.4563407930891392	1.9343458912503042	1.4767409420413837	0.39422772657057226	1.8992443083317914	0.5216967898766764	0.3147645030771341	0.9406982953725841	2.0267426245627496	1.2952458970687084	0.010901656406216018	13	8	14	18	23	10	2	8	8	0	3	10	16	0	20	8	18	12	22	19	12	8	14	14	6	25	16	13	4	0.08083995583052661	0.7180027301418307	0.5901147799282442	0.28245662854094844	0.20019191995218522	0.9737342810468623	0.17474994667069677	0.524714043470246	0.7977360027046121	0.3281386315864907	0.48228369081825284	0.31560241706634096	0.06452479915234943	0.11232536032199625	0.3348299383290818	0.5955853810522965	0.07767942808581785	0.052197642775091646	0.6177282509922951	0.7330190985313615	0.6415315457453549	0.8085817560390349	0.4614602971604429	0.07317122360592465	0.24772166753265534	0.8054257958756745	0.436687343064165	0.9448590431671798	0.5651896709192007	-0.052936976795692425	NaN	-0.04005274261349134	NaN	1
40000	-794.4484869755868	-600.4706349155631	-193.97785206002368	-1.5696054610767463	0.5923838939408708	0.47462641072145756	1.1307359905822525	0.7106877686477829	1.35372287120258	0.05344699795425652	1.7023067415792974	1.0924104954152378	2.6513076649155725	0.9866894056192443	0.7920342271160132	0.7886446180946648	1.250426317231695	0.5068830960924882	1.0506467876036438	2.0941066856396318	0.7940896995469937	1.0933113903057547	0.6043219265290286	1.0725956273324833	1.3414853800002398	1.0657444379945853	2.2573778516709058	1.2484418056929791	0.06515279766013096	0.7008690639307144	1.041302138857901	1.170476884449259	1.2760854562975912	1.8991149929153994	2.0179408320554173	1.3596791038889136	1.1353771819467056	1.7929583919587064	1.1202028984481753	0.4893882714204624	0.7132629707828023	2.1791437269235803	1.404629725490636	0.20291331689198688	2.356921719495722	2.105543773286595	0.8734136638160584	1.768124140584598	1.0000669171119037	1.3069707693514403	2.654594684093934	2.1412835132494195	0.9433620489065812	0.17369780945501026	1.0906418037357388	1.2857039763865805	1.6774834443326905	1.258941933245428	1.4945457121705823	0.2877993608852252	1.4974830185302894	1.400843590177501	1.0513432578761932	0.009162232993065957	7	17	25	11	1	6	11	2	16	12	1	7	3	24	25	21	3	6	9	18	24	2	22	2	18	16	21	0	21	0.49142284638073364	0.16450064752229066	0.027770219087684733	0.16514510528214033	0.5897941293909478	0.17705265395096692	0.4290634531376172	0.6105259725907851	0.3876637959209117	0.4689011832462431	0.06708563070803686	0.05807855376364823	0.9121045180673567	0.575439279313713	0.22273500257171241	0.3618931368896021	0.2822543818237032	0.9555340118635628	0.7299329609970351	0.8798700700342166	0.6187768527353894	0.02606082718875513	0.980836397743518	0.11913995437881542	0.6313955213045211	0.039353641538823037	0.3068322048488551	0.8417850878085811	0.20316441240919747	-0.009284825502223093	NaN	-0.005353564725317783	NaN	1
50000	-793.8326286798599	-598.9460691094577	-194.8865595704023	-1.7446769662861898	1.2917915189072064	0.3339688033910039	1.9349056763356862	0.6531639987238897	0.2812097568490436	1.4694508838403881	0.9640614539641901	0.9740429472642512	1.3148926744065548	0.6857509088684776	1.9394809879330472	1.3803328685877139	0.9295502410148929	1.245983062057903	1.1710133987870233	0.012819374801354172	1.5100369567978948	2.1733367350178683	1.6377770092116322	1.2798087060960655	0.9968566915464105	0.7618718101488444	1.6041279818519514	1.1122101687352937	0.7671267084231956	-0.6115717657184122	0.6157821115393044	0.40006662855916364	0.5868042998677556	2.064536532819249	1.9855826119190714	0.9813656145590897	0.8629484400093582	1.0143396353996326	1.5340553870896425	0.6554242189798198	1.3355366805232474	0.8104755991186756	0.7601382205194616	2.1523091973451502	1.3505135452334676	1.536974956623966	2.4846834850951454	1.7788550598957404	-0.32790753163797953	1.0038833438403043	0.32793215335292103	1.3405444389676473	0.8781079567183557	2.0469391458831874	0.1981691387168501	1.711822034192861	0.4866678074954691	1.8445073953827262	0.3662976870777021	1.0416501645539467	2.0829634868391946	1.465050348978501	2.7006094043575937	0.0508864459365402	19	10	15	23	22	23	16	25	9	14	25	11	25	17	15	18	2	2	2	3	18	0	12	20	8	8	15	20	3	0.2246796757812638	0.30614321523827703	0.6633124800825779	0.16371640348739824	0.39276713108712835	0.16094327142810072	0.3200016204939342	0.503228579489275	0.05979940871394063	0.1571719033267559	0.25668932733217964	0.8298284870984435	0.21096893991050591	0.8073579423441216	0.9704069676037038	0.1732542207914034	0.8041646312959614	0.3714952869678253	0.2258821511836422	0.633235353802547	0.4422163617340539	0.6511403717481388	0.3088944826356017	0.33247597073278934	0.5134110112898328	0.6423631006189088	0.6949015878267927	0.6789054004368639	0.0857963528386223	-9.261312040220737E-4	NaN	-1.1182570339252074E-4	NaN	1
60000	-794.2913980352951	-598.8500267976731	-195.44137123762192	-1.8088159307291152	0.6407520948721995	1.2208362278723723	1.1450928285781063	0.32149834226175567	0.592236622529237	0.2768630870016352	1.348758376755617	1.3776982739732984	1.1025127615270178	0.8163406796188734	1.8798852494689688	1.3455010247601007	0.4366014093651096	0.5553157774503468	0.8139537940876723	1.587219857137708	2.0795683235266824	0.38519039066355054	0.6404501285758767	0.937901725359644	-0.6239790520230212	0.5500922054707031	0.16856248641639354	0.5591112234065053	0.6085736129457955	0.5713664470320469	1.8735200662000968	1.099507385467891	2.535792272074285	1.9188519024379869	1.1152706602739142	-0.08808947530370825	1.3365811596710635	2.9437055257525686	1.551338096569289	1.9709427180148804	1.1200570628632653	1.5740279754935256	0.5611606232163995	2.073406599170078	0.8488679286759764	1.8829697813944695	0.10739839731663407	1.2539177134302952	0.5194723537588062	-0.04364203840111572	1.0243674196541315	1.2985149626165147	2.234609931084404	1.3171552445566728	0.6312401207819026	-0.24128355934293544	1.4191358274401666	1.5206169222088886	0.9057478542129831	2.15271150522324	1.1414722579844843	1.772823120254282	0.9115343894038856	0.10211555589297397	21	12	10	20	14	10	4	24	5	1	18	24	8	5	3	23	25	5	16	23	13	15	21	24	24	22	13	11	4	0.1369216557355324	0.4018782185272438	0.40110572148331125	0.566980783876453	0.7403246806685343	0.3810047769976421	0.5551672260042393	0.6229650979430946	0.88107008164256	0.2556768712175793	0.9287900952766015	0.34279899706232775	0.3131070819513545	0.9462712985881374	0.6983217820106558	0.9464643960312727	0.08848413702514168	0.042072468106755356	0.48788393262435537	0.3061613817908976	0.6960216262018333	0.8204382986720424	0.6172273664224723	0.6199168593106974	0.05374756320825502	0.8753100970204506	0.8672990505256113	0.3336182323314797	0.2326142106978768	-4.5634066842503707E-4	NaN	-0.0014901057223670744	NaN	1
70000	-798.0930969147062	-599.086097076461	-199.00699983824518	-1.8844061519180308	1.4186679632496004	0.3749961941198319	0.2912381296341967	1.2303796013354138	-0.23150163834102194	2.1019229771167893	1.1747482793931747	1.090379100529247	0.3505175715468987	2.5629751595914807	0.6229523518220812	-0.04593262559667795	1.6004720740967584	0.9746502526172697	0.3539011698532516	1.8854139280529951	0.2527571750521454	0.7639172617330404	1.1384582132340835	0.9515855955374677	1.2772074928973132	1.9567707441975848	0.5299341637462675	0.608622342157373	1.2569835657249626	0.523810150418017	0.5681878899631851	1.3590104604551136	-0.1720985327520726	2.07048402668115	0.9669785353252645	2.2303956171191204	1.3464939064976973	1.1359197985338731	0.975827172071047	1.2092481340000993	1.654720543187117	0.3542663118872641	1.8376410019568366	0.9099693493111709	0.5471314130555682	1.8548192079292594	0.7213024651226898	1.9210477663942438	0.06319705796454908	-0.20617893680424385	2.8538874244145456	2.081676617749013	1.977602499972129	0.4582720255406169	1.2062867829505048	1.0320342931597133	1.5261751469686733	1.5104110751044069	1.1621740818356243	2.2908697669019404	1.5318479322574612	-0.12252025737750091	0.2751440543752278	1.6424176492934521	2	10	17	20	20	12	2	5	8	3	6	20	5	0	12	13	15	7	11	11	9	21	5	21	14	17	15	0	1	0.7971320009156565	0.7199636218521717	0.7351980197967044	0.7291438091938467	0.7669838472494526	0.23273158151680517	0.05190926577980315	0.6190067718954879	0.3703625122500551	0.1621638895019667	0.7902093181168595	0.9803040517131194	0.3873881465872657	0.2987377309634599	0.6772605038604099	0.3185898254302799	0.818653194118392	0.5174803583443598	0.06868569030015159	0.3910829111560894	0.9687525538355669	0.05819613799303447	0.742258634205887	0.42039097651191115	0.9954672121465392	0.7931941007290376	0.4091421852003	0.5488187310928812	0.3561750796259666	-0.0015271544410921933	NaN	-0.0030717216226758826	NaN	1
80000	-797.5616850174711	-599.6246779387072	-197.93700707876377	-1.7702617592111258	1.434722007066761	2.2307043414429915	1.5992647175587076	0.5255402928460207	0.2551829914742931	-0.020160623490875773	-0.06243987376634259	-0.03395322059800478	0.5419632232213213	1.097482110494953	1.3867875129894645	0.33095765824707085	1.1095431327667242	0.6893161759569612	0.8127620519104984	2.0160705246806354	0.3860308756440312	0.6290900110675488	0.54334997669341	0.47763056528484255	2.81433440522079	1.0117289806148262	-0.1760265245110184	1.5106432113326163	1.8735622392962796	1.4865738613182828	0.18466639341868582	0.2963367930166681	0.624762741980983	2.119327238785002	0.863614927568607	1.45650070349506	1.6967318951512684	1.8032728793317387	1.708391896055346	1.3989109539947846	1.9998755959131562	-0.1449378846628161	0.3177427517142531	2.0239928275457317	1.0195013744169734	0.16821569635483724	1.175860259208901	0.31346306909274574	0.5552564496512498	1.3020577596701033	1.8259703387802546	-0.7204527408492929	3.0114796375690727	1.3354447541935706	1.218020691540658	2.1038567233909617	2.3658597593627197	2.03009345561627	1.6387846828040074	0.22857655514855252	1.1911199467950455	2.6966647288954686	1.5451373889769677	0.7862613077695405	13	2	8	17	10	8	7	10	12	9	17	13	22	6	12	9	17	0	24	19	19	18	20	7	5	22	23	5	21	0.23933131412335074	0.8336335970777382	0.9015609692916171	0.12574993534709222	0.25396145641237566	0.4366844349402116	0.5531717502778508	0.4787342656748895	0.9202406518607096	0.5229346068370418	0.2569355696739498	0.8150906432988133	0.12301139121207894	0.48674177810517694	0.45315369581227694	0.5755069618002786	0.812891916586355	0.5766695725993001	0.3892568532529489	0.21395932100069848	0.9638601954978326	0.34743076563666353	0.2740694766685219	0.6606178206504097	0.8811755878013007	0.9789146472180498	0.7941823285129581	0.542147407378226	0.6973571167137077	-6.20041171987662E-4	NaN	-2.832991299195342E-5	NaN	1
90000	-797.8192172585982	-599.4870805089613	-198.33213674963687	-1.6888583205225212	-0.3571391703102089	0.6399703104105322	2.984187637081261	0.7227844368220699	0.2662605689207689	0.7411955198577045	-0.22493338701118956	2.1655377978892747	0.614413671711807	1.2789995917338348	0.23883796367433482	1.7903168102639204	0.08041527742462684	1.5217955677655453	1.5713190444764336	0.27418681639105597	-0.13217541180263934	1.1691534863329776	0.8225200809954216	0.18859305284562797	1.4779764256590593	1.81671986931704	0.20836630310309223	1.8187605273005403	1.9834548857162546	1.4483698704173036	0.06888118039688718	0.31377670155391946	-0.6254393280128496	2.0812440065687627	1.8079524669819576	1.9523670051102728	1.5907610200683362	0.7180485009218851	2.4215591176173534	1.0133768939801202	1.738701593286263	1.2999204337563937	0.6239600289117349	1.996683378773733	2.3647241458247743	1.914970158364589	1.2791387052201821	1.8091894839015412	1.0509055253826323	-0.8811371057515403	0.09552745843910257	1.2052934449800712	-0.5546842139241712	3.7784933148820348	1.752089852230022	0.906529335884408	1.2707380064989016	1.298030463995308	1.3131193526515508	-0.019981876488202738	1.1762459207557943	0.5880143044828318	2.3046011908487607	1.0031403099875957	14	12	5	9	25	24	22	5	25	21	22	17	21	24	3	5	4	1	17	5	25	2	19	9	17	13	1	9	24	0.6386203700552116	0.2434412420721177	0.14117552316182735	0.8609768037178284	0.4149255424594277	0.5756330272078817	0.4264398743782519	0.3271867082281146	0.7171062933777455	0.32674047379827076	0.4605377165485217	0.7383241801784332	0.24045586893668225	0.10257241786781557	0.4632506131689321	0.7480066467596661	0.11767690008831777	0.5422106236352974	0.9135263210634786	0.7515807207962321	0.5943236593056838	0.15427106299307836	0.8053514447086682	0.6683207502546779	0.5875538796670979	0.2706418285207648	0.20073283326469782	0.5552079984255454	0.8656789705794972	-0.0036914976293924706	NaN	-0.0015497851768324633	NaN	1
